id,name,ocrName,sizeMm,finish,pdfPage,textureUrl
"gt-floor-c127","Global Floor Tile #127","","800×2400mm","Glossy","66","/assets/catalogue/clean_swatches/gt-floor-2025-p127-t1-clean.webp"
"gt-floor-c128","Global Floor Tile #128","","800×2400mm","Glossy","66","/assets/catalogue/clean_swatches/gt-floor-2025-p128-t2-clean.webp"
"gt-floor-c130","Global Floor Tile #130","","800×2400mm","Glossy","67","/assets/catalogue/clean_swatches/gt-floor-2025-p130-t2-clean.webp"
"gt-floor-c131","Global Floor Tile #131","","800×2400mm","Glossy","68","/assets/catalogue/clean_swatches/gt-floor-2025-p131-t1-clean.webp"
"gt-floor-c132","Global Floor Tile #132","","800×2400mm","Glossy","68","/assets/catalogue/clean_swatches/gt-floor-2025-p132-t2-clean.webp"
"gt-floor-c133","Global Floor Tile #133","","800×2400mm","Glossy","69","/assets/catalogue/clean_swatches/gt-floor-2025-p133-t1-clean.webp"
"gt-floor-c134","Global Floor Tile #134","","800×2400mm","Glossy","69","/assets/catalogue/clean_swatches/gt-floor-2025-p134-t2-clean.webp"
"gt-floor-c135","Global Floor Tile #135","","800×3000mm","Glossy","70","/assets/catalogue/clean_swatches/gt-floor-2025-p135-t1-clean.webp"
"gt-floor-c136","Global Floor Tile #136","","800×3000mm","Glossy","70","/assets/catalogue/clean_swatches/gt-floor-2025-p136-t2-clean.webp"
"gt-floor-c137","Global Floor Tile #137","","600×1200mm","Glossy","71","/assets/catalogue/clean_swatches/gt-floor-2025-p137-t1-clean.webp"
"gt-floor-c138","Global Floor Tile #138","","600×1200mm","Glossy","71","/assets/catalogue/clean_swatches/gt-floor-2025-p138-t2-clean.webp"
"gt-floor-c139","Global Floor Tile #139","","600×1200mm","Glossy","72","/assets/catalogue/clean_swatches/gt-floor-2025-p139-t1-clean.webp"
"gt-floor-c140","Global Floor Tile #140","","600×1200mm","Glossy","72","/assets/catalogue/clean_swatches/gt-floor-2025-p140-t2-clean.webp"
